description,category,priority
Users can bypass the dashboard authentication step.,SECURITY,HIGH
Users cannot import because of an exception in the settings module.,BUG,CRITICAL
Memory leak suspected in the login background job.,PERFORMANCE,MEDIUM
SQL injection is possible in the upload search field.,SECURITY,MEDIUM
Need assistance with import configuration.,OTHER,LOW
It would be great if users could upload.,FEATURE,LOW
Update the README to include instructions for payment.,DOCUMENTATION,MEDIUM
The API documentation for report is outdated.,DOCUMENTATION,MEDIUM
Question about the export implementation.,OTHER,LOW
Fix the typo in the login section of the user guide.,DOCUMENTATION,LOW
Miscellaneous updates to the dashboard repo.,OTHER,LOW
High CPU usage observed when running upload.,PERFORMANCE,MEDIUM
It would be great if users could upload.,FEATURE,HIGH
The settings modal is misaligned on mobile devices.,UI,MEDIUM
Please review the export deployment plan.,OTHER,LOW
Optimize the database query for search retrieval.,PERFORMANCE,MEDIUM
We need a way to export login to PDF.,FEATURE,MEDIUM
Users cannot login because of an exception in the search module.,BUG,HIGH
Vulnerability found in the login dependency.,SECURITY,HIGH
The login modal is misaligned on mobile devices.,UI,CRITICAL
Ensure upload is properly sanitized before rendering.,SECURITY,CRITICAL
SQL injection is possible in the payment search field.,SECURITY,HIGH
Create a troubleshooting guide for import.,DOCUMENTATION,CRITICAL
It would be great if users could report.,FEATURE,LOW
We need a way to export report to PDF.,FEATURE,LOW
There is a bug in the report calculation.,BUG,CRITICAL
Users cannot settings because of an exception in the import module.,BUG,MEDIUM
SQL injection is possible in the import search field.,SECURITY,CRITICAL
Text is overlapping in the search component.,UI,LOW
Users cannot search because of an exception in the payment module.,BUG,CRITICAL
Change the color of the upload button to match the brand.,UI,LOW
General feedback regarding the search workflow.,OTHER,LOW
The search feature crashes when I try to settings.,BUG,HIGH
Fix the typo in the report section of the user guide.,DOCUMENTATION,LOW
dashboard button does not respond when clicked.,BUG,MEDIUM
High CPU usage observed when running payment.,PERFORMANCE,HIGH
Images on the profile screen are too large and slow down the app.,PERFORMANCE,HIGH
Improve the contrast of the payment text for accessibility.,UI,LOW
Images on the report screen are too large and slow down the app.,PERFORMANCE,CRITICAL
Question about the report implementation.,OTHER,CRITICAL
It would be great if users could settings.,FEATURE,MEDIUM
Getting a 500 internal server error on the login page.,BUG,LOW
Update the README to include instructions for settings.,DOCUMENTATION,MEDIUM
Ensure import is properly sanitized before rendering.,SECURITY,CRITICAL
Tokens are exposed in the profile logs.,SECURITY,LOW
Vulnerability found in the dashboard dependency.,SECURITY,CRITICAL
Question about the profile implementation.,OTHER,LOW
The search feature crashes when I try to settings.,BUG,LOW
We need a way to export upload to PDF.,FEATURE,MEDIUM
Memory leak suspected in the payment background job.,PERFORMANCE,HIGH
Fix the typo in the login section of the user guide.,DOCUMENTATION,MEDIUM
Fix the typo in the upload section of the user guide.,DOCUMENTATION,LOW
Update the README to include instructions for upload.,DOCUMENTATION,MEDIUM
It would be great if users could dashboard.,FEATURE,LOW
Users cannot upload because of an exception in the payment module.,BUG,MEDIUM
Ensure login is properly sanitized before rendering.,SECURITY,HIGH
There is a bug in the settings calculation.,BUG,CRITICAL
Vulnerability found in the import dependency.,SECURITY,CRITICAL
Please add a new settings to the dashboard.,FEATURE,MEDIUM
Add a settings button on the main screen.,FEATURE,MEDIUM
settings button does not respond when clicked.,BUG,CRITICAL
General feedback regarding the report workflow.,OTHER,MEDIUM
The API documentation for export is outdated.,DOCUMENTATION,MEDIUM
The API documentation for login is outdated.,DOCUMENTATION,MEDIUM
Fix the typo in the export section of the user guide.,DOCUMENTATION,MEDIUM
Improve the contrast of the settings text for accessibility.,UI,MEDIUM
The report page takes over 10 seconds to load.,PERFORMANCE,HIGH
Users can bypass the search authentication step.,SECURITY,HIGH
General feedback regarding the report workflow.,OTHER,MEDIUM
The settings page takes over 10 seconds to load.,PERFORMANCE,HIGH
Memory leak suspected in the login background job.,PERFORMANCE,MEDIUM
Vulnerability found in the search dependency.,SECURITY,CRITICAL
Optimize the database query for import retrieval.,PERFORMANCE,HIGH
General feedback regarding the export workflow.,OTHER,MEDIUM
Question about the import implementation.,OTHER,MEDIUM
We need a way to export export to PDF.,FEATURE,LOW
Update the README to include instructions for payment.,DOCUMENTATION,MEDIUM
Ensure settings is properly sanitized before rendering.,SECURITY,CRITICAL
Please add a new settings to the dashboard.,FEATURE,LOW
High CPU usage observed when running dashboard.,PERFORMANCE,HIGH
